Test_Set_Index,Actual_V,Predicted_V,Absolute_Error
33,268.69999247193334,168.17989172041413,100.52010075151921
73,239.1000075370073,302.87894443869584,63.77893690168855
110,240.80000374913212,304.00504971742623,63.205045968294115
2,166.1999933004379,110.55826474130153,55.64172855913638
24,435.99999704360954,387.3100384175777,48.68995862603185
10,184.4000026762485,143.97297823578117,40.427024440467335
74,174.89999311864372,214.2500028967857,39.35000977814198
21,195.7999945580959,159.80050300359724,35.99949155449866
30,155.00000385344026,189.61797201931472,34.61796816587446
75,182.89999257624146,216.76569499373431,33.865702417492855
7,100.79999691843986,130.70227068811653,29.90227376967667
40,170.70000727772708,141.0872334823012,29.61277379542588
100,160.09999248981472,131.0991089478135,29.00088354200122
47,169.30000655651088,140.39625959247348,28.903746964037396
91,111.30000232756137,138.58103305399416,27.28103072643279
